    n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
    0,             0,               0,              0,         0,           0,          0
    1,             0,               0,              0,         0,           0,          0
    2,             1,               1,              0,         1,           0,          0
    3,             3,               3,              0,         3,           0,          0
    4,             4,               3,              0,         5,           0,          0
    5,             5,               3,              0,         6,           0,          0
    6,             7,               4,              0,         8,           0,          0
    7,            10,               6,              0,        11,           0,          0
    8,            11,               6,              0,        14,           0,          0
    9,            12,               6,              0,        15,           0,          0
   10,            13,               6,              0,        18,           0,          0
   11,            15,               7,              0,        21,           0,          0
   12,            16,               7,              0,        23,           0,          0
   13,            18,               8,              0,        24,           0,          0
   14,            19,               8,              0,        29,           0,          0
   15,            20,               8,              0,        30,           0,          0
   16,            22,               9,              0,        36,           0,          0
   17,            25,              11,              0,        38,           0,        996
   18,            26,              11,             94,        40,           0,          0
   19,            27,              11,              0,        41,           0,          0
   20,            29,              12,              0,        47,           0,          0
   21,            30,              12,              0,        51,           0,          0
   22,            31,              12,              0,        51,           0,          0
   23,            33,              13,              0,        54,           0,          0
   24,            34,              13,              0,        61,           0,          0
   25,            35,              13,              0,        62,           0,          0
   26,            36,              13,              0,        62,           0,          0
   27,            37,              13,              0,        63,           0,          0
   28,            41,              16,              0,        72,           0,          0
   29,            43,              17,              0,        75,           0,          0
   30,            44,              17,              0,        79,           0,          0
   31,            45,              17,              0,        82,           0,          0
   32,            46,              17,              0,        88,           0,          0
   33,            49,              19,              0,        90,           0,          0
   34,            51,              20,              0,        93,           0,          0
   35,            55,              23,              0,        95,           0,          0
   36,            56,              23,              0,       101,           0,          0
   37,            57,              23,              0,       102,           0,          0
   38,            59,              24,              0,       104,           0,          0
   39,            60,              24,              0,       108,           0,          0
   40,            61,              24,              0,       114,           0,          0
   41,            62,              24,              0,       115,           0,          0
   42,            64,              25,              0,       122,           0,          0
   43,            67,              27,              0,       125,           0,          0
   44,            69,              28,              0,       127,           0,          0
   45,            70,              28,              0,       131,           0,          0
   46,            71,              28,              0,       134,           0,          0
   47,            73,              29,              0,       137,           0,          0
   48,            76,              31,              0,       147,           0,          0
   49,            77,              31,              0,       149,           0,          0
   50,            78,              31,              0,       153,           0,          0
   51,            80,              32,              0,       155,           0,          0
   52,            82,              33,              0,       155,           0,          0
   53,            83,              33,              0,       160,           0,          0
   54,            84,              33,              0,       161,           0,          0
   55,            85,              33,              0,       165,           0,       8000
   56,            86,              33,              0,       172,           0,       1019
   57,            87,              33,           1008,       175,           0,        241
   58,            88,              33,              0,       182,           0,          0
   59,            89,              33,              0,       182,           0,          0
   60,            90,              33,              0,       189,           0,       2588
   61,            91,              33,              0,       193,           0,          0
   62,            92,              33,           2259,       198,           0,        995
   63,            93,              33,              0,       201,           0,        483
   64,            95,              34,              0,       207,           0,          0
   65,            96,              34,              0,       209,           0,        998
   66,            97,              34,            349,       213,           0,          0
   67,            98,              34,              0,       215,           0,        998
   68,            99,              34,              0,       217,           0,          0
   69,           100,              34,              0,       218,           0,          0
   70,           101,              34,            996,       221,           0,          0
   71,           102,              34,              0,       225,           0,          0
   72,           103,              34,              0,       230,           0,          0
   73,           104,              34,              0,       232,           0,          0
   74,           105,              34,              0,       237,           0,          0
   75,           106,              34,              0,       240,           0,          0
   76,           107,              34,              0,       240,           0,          0
   77,           108,              34,              0,       242,           0,          0
   78,           109,              34,              0,       249,           0,          0
   79,           111,              35,              0,       254,           0,          0
   80,           112,              35,              0,       261,           0,          0
   81,           113,              35,              0,       263,           0,          0
   82,           114,              35,              0,       265,           0,        506
   83,           115,              35,              0,       268,           0,       1204
   84,           117,              36,              0,       275,           0,          0
   85,           118,              36,              0,       278,           0,        998
   86,           121,              38,              0,       283,           0,          0
   87,           122,              38,              0,       287,           0,          0
   88,           123,              38,              0,       290,           0,          0
   89,           124,              38,              0,       294,           0,          0
   90,           125,              38,              0,       297,           0,          0
   91,           126,              38,              0,       301,           0,          0
   92,           127,              38,              0,       306,           0,          0
   93,           128,              38,              0,       310,           0,          0
   94,           129,              38,              0,       311,           0,          0
   95,           130,              38,              0,       319,           0,          0
   96,           131,              38,              0,       328,           0,          0
   97,           132,              38,              0,       330,           0,          0
   98,           133,              38,              0,       331,           0,          0
   99,           134,              38,              0,       335,           0,          0
  100,           135,              38,              0,       342,           0,       8014
  101,           137,              39,              0,       344,           0,          0
  102,           138,              39,           3614,       347,           0,       1693
  103,           139,              39,              0,       350,           0,       1880
  104,           140,              39,           1001,       352,           0,          0
  105,           141,              39,              0,       354,           0,          0
  106,           142,              39,              0,       359,           0,          0
  107,           144,              40,              0,       364,           0,          0
  108,           147,              42,           8053,       366,           0,       1227
  109,           148,              42,              0,       370,           0,        688
  110,           149,              42,              0,       376,           0,          0
  111,           150,              42,              0,       381,           0,          0
  112,           153,              44,              0,       390,           0,          0
  113,           154,              44,              0,       393,           0,          0
  114,           155,              44,              0,       398,           0,          0
  115,           157,              45,              0,       400,           0,          0
  116,           159,              46,              0,       410,           0,          0
  117,           161,              47,              0,       415,           0,          0
  118,           162,              47,              0,       416,           0,          0
  119,           163,              47,              0,       420,           0,          0
  120,           164,              47,              0,       428,           0,          0
  121,           165,              47,              0,       431,           0,          0
  122,           166,              47,              0,       440,           0,       9193
  123,           167,              47,              0,       441,           0,        998
  124,           169,              48,              0,       449,           0,          0
  125,           170,              48,              0,       453,           0,          0
  126,           171,              48,              0,       460,           0,          0
  127,           172,              48,              0,       465,           0,          0
  128,           174,              49,              0,       470,           0,          0
  129,           175,              49,              0,       472,           0,          0
  130,           178,              51,              0,       475,           0,          0
  131,           179,              51,              0,       480,           0,          0
  132,           180,              51,            998,       484,           0,          0
  133,           182,              52,              0,       483,           0,          0
  134,           183,              52,              0,       491,           0,          0
  135,           184,              52,              0,       489,           0,          0
