   n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
   0,             0,               0,              0,         0,           0,          0
   1,             0,               0,              0,         0,           0,          0
   2,             1,               0,              0,         1,           0,          0
   3,             3,               2,              0,         3,           0,          0
   4,             4,               2,              0,         5,           0,          0
   5,             5,               2,              0,         6,           0,          0
   6,             6,               2,              0,         8,           0,          0
   7,             7,               2,              0,        10,           0,          0
   8,             8,               2,              0,        13,           0,          0
   9,             9,               2,              0,        14,           0,          0
  10,            10,               2,              0,        16,           0,          0
  11,            11,               2,              0,        18,           0,          0
  12,            13,               3,              0,        21,           0,          0
  13,            14,               3,              0,        24,           0,          0
  14,            15,               3,              0,        26,           0,          0
  15,            16,               3,              0,        30,           0,          0
  16,            17,               3,              0,        33,           0,          0
  17,            19,               4,              0,        34,           0,          0
  18,            20,               4,              0,        38,           0,          0
  19,            21,               4,              0,        40,           0,          0
  20,            23,               5,              0,        41,           0,          0
  21,            25,               6,              0,        45,           0,          0
  22,            26,               6,              0,        50,           0,        995
  23,            27,               6,              0,        51,           0,          0
  24,            28,               6,              0,        55,           0,          0
  25,            29,               6,              0,        57,           0,          0
  26,            31,               7,              0,        62,           0,          0
  27,            33,               8,            199,        65,           0,          0
  28,            36,              10,              0,        67,           0,        798
  29,            37,              10,              0,        73,           0,          0
  30,            38,              10,            998,        77,           0,          0
  31,            40,              11,              0,        81,           0,          0
  32,            41,              11,              0,        85,           0,          0
  33,            42,              11,              0,        86,           0,          0
  34,            43,              11,              0,        89,           0,          0
  35,            45,              12,              0,        90,           0,          0
  36,            46,              12,              0,        95,           0,          0
  37,            47,              12,              0,        98,           0,          0
  38,            48,              12,              0,       101,           0,          0
  39,            49,              12,              0,       105,           0,          0
  40,            51,              13,              0,       107,           0,          0
  41,            52,              13,              0,       110,           0,          0
  42,            53,              13,              0,       112,           0,          0
  43,            54,              13,              0,       116,           0,          0
  44,            55,              13,              0,       121,           0,          0
  45,            56,              13,              0,       125,           0,          0
  46,            57,              13,              0,       125,           0,          0
  47,            59,              14,              0,       131,           0,          0
  48,            61,              15,              0,       137,           0,          0
  49,            62,              15,              0,       139,           0,          0
  50,            63,              15,              0,       142,           0,          0
  51,            65,              16,              0,       145,           0,          0
  52,            67,              17,              0,       152,           0,          0
  53,            70,              19,              0,       156,           0,          0
  54,            73,              21,              0,       160,           0,          0
  55,            74,              21,              0,       165,           0,          0
  56,            75,              21,              0,       163,           0,          0
  57,            76,              21,              0,       165,           0,          0
  58,            77,              21,              0,       179,           0,          0
  59,            78,              21,              0,       180,           0,          0
  60,            79,              21,              0,       184,           0,          0
  61,            80,              21,              0,       187,           0,          0
  62,            81,              21,              0,       194,           0,       8826
  63,            82,              21,              0,       198,           0,          0
  64,            84,              22,           1422,       202,           0,        998
  65,            85,              22,              0,       204,           0,          0
  66,            86,              22,              0,       205,           0,       2950
  67,            87,              22,              0,       209,           0,       1792
  68,            89,              23,              0,       214,           0,       1374
  69,            92,              25,            997,       216,           0,          0
  70,            96,              28,              0,       219,           0,          0
  71,           100,              31,              0,       220,           0,          0
  72,           101,              31,              0,       230,           0,          0
  73,           102,              31,              0,       230,           0,          0
  74,           103,              31,              0,       237,           0,          0
  75,           104,              31,              0,       240,           0,          0
  76,           105,              31,              0,       239,           0,       8024
  77,           106,              31,              0,       245,           0,          0
  78,           108,              32,           1000,       250,           0,       1530
  79,           111,              34,           1003,       254,           0,       2225
  80,           112,              34,              0,       262,           0,        999
  81,           113,              34,              0,       262,           0,          0
  82,           114,              34,              0,       263,           0,        997
  83,           116,              35,              0,       271,           0,          0
  84,           117,              35,              0,       270,           0,          0
  85,           120,              37,              0,       274,           0,          0
  86,           124,              40,              0,       280,           0,          0
  87,           125,              40,              0,       285,           0,          0
  88,           126,              40,              0,       291,           0,          0
  89,           127,              40,              0,       294,           0,          0
  90,           128,              40,              0,       302,           0,          0
  91,           130,              41,              0,       304,           0,          0
  92,           131,              41,              0,       307,           0,          0
  93,           132,              41,              0,       310,           0,          0
  94,           133,              41,              0,       314,           0,          0
  95,           134,              41,              0,       320,           0,          0
  96,           135,              41,           8025,       326,           0,       1567
  97,           139,              44,           1024,       329,           0,       1955
  98,           144,              48,            697,       333,           0,          0
  99,           145,              48,              0,       340,           0,          0
 100,           146,              48,              0,       343,           0,          0
 101,           147,              48,              0,       346,           0,          0
 102,           148,              48,              0,       349,           0,          0
 103,           149,              48,              0,       354,           0,          0
 104,           150,              48,              0,       357,           0,          0
 105,           151,              48,           8099,       359,           0,       1998
 106,           152,              48,              0,       364,           0,          0
 107,           154,              49,              0,       366,           0,       2753
 108,           156,              50,              0,       380,           0,       1001
 109,           160,              53,              0,       381,           0,          0
 110,           163,              55,              0,       388,           0,          0
 111,           164,              55,              0,       391,           0,          0
 112,           165,              55,              0,       389,           0,          0
 113,           167,              56,              0,       391,           0,          0
 114,           169,              57,              0,       397,           0,          0
 115,           173,              60,              0,       400,           0,          0
 116,           174,              60,              0,       421,           0,          0
 117,           175,              60,              0,       420,           0,          0
 118,           176,              60,              0,       422,           0,          0
 119,           179,              62,              0,       425,           0,          0
 120,           180,              62,              0,       437,           0,       8027
 121,           181,              62,              0,       438,           0,          0
 122,           182,              62,              0,       442,           0,       7796
 123,           183,              62,              0,       447,           0,          0
 124,           184,              62,              0,       455,           0,          0
 125,           185,              62,              0,       457,           0,       8116
 126,           186,              62,              0,       464,           0,          0
 127,           187,              62,              0,       470,           0,       7307
 128,           188,              62,              0,       477,           0,       1121
 129,           191,              64,              0,       479,           0,          0
 130,           192,              64,              0,       478,           0,          0
 131,           193,              64,              0,       483,           0,          0
 132,           194,              64,              0,       485,           0,          0
 133,           196,              65,              0,       489,           0,          0
 134,           197,              65,              0,       494,           0,          0
 135,           198,              65,              0,       494,           0,          0
