    n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
    0,             0,               0,              0,         0,           0,          0
    1,             0,               0,              0,         0,           0,          0
    2,             1,               0,              0,         1,           1,          0
    3,             2,               0,              0,         2,           1,          0
    4,             5,               3,              0,         5,           3,          0
    5,             7,               4,              0,         7,           3,          0
    6,            12,               9,              0,        10,           5,          0
    7,            18,              15,              0,        12,           6,          0
    8,            25,              21,              0,        16,           7,          0
    9,            28,              23,              0,        20,           8,          0
   10,            35,              29,              0,        21,           8,       1001
   11,            36,              29,              0,        26,          10,          0
   12,            46,              38,              0,        31,          11,          0
   13,            50,              41,              0,        34,          12,          0
   14,            56,              46,              0,        37,          13,          0
   15,            60,              49,              0,        43,          14,          0
   16,            69,              57,              0,        48,          15,          0
   17,            72,              59,              0,        52,          16,          0
   18,            87,              73,              0,        58,          17,          0
   19,            97,              82,              0,        62,          18,          0
   20,           101,              85,              0,        64,          19,          0
   21,           112,              95,              0,        69,          20,          0
   22,           113,              95,              0,        74,          21,          0
   23,           116,              97,              0,        75,          22,          0
   24,           126,             106,           1001,        84,          23,          0
   25,           147,             126,              0,        88,          24,          0
   26,           159,             137,              0,        94,          25,          0
   27,           176,             153,              0,        97,          26,          0
   28,           182,             158,           1000,       102,          27,          0
   29,           189,             164,              0,       105,          28,          0
   30,           211,             185,              0,       116,          29,          0
   31,           241,             215,           1001,       116,          30,          0
   32,           268,             241,              0,       124,          31,          0
   33,           294,             266,              0,       129,          32,          0
   34,           318,             289,           1000,       130,          33,          0
   35,           346,             316,              0,       136,          34,          0
   36,           381,             350,           1001,       146,          35,          0
   37,           397,             365,           1000,       153,          36,          0
   38,           431,             398,           1000,       156,          37,          0
   39,           469,             436,              0,       158,          38,       1001
   40,           497,             463,              0,       163,          39,       1001
   41,           512,             477,              0,       166,          40,       1000
   42,           514,             478,              0,       177,          40,       1000
   43,           519,             482,              0,       179,          41,       1000
   44,           531,             493,              0,       184,          43,          0
   45,           575,             537,              0,       193,          44,          0
   46,           618,             579,           1000,       196,          45,          0
   47,           633,             593,           1000,       195,          46,          0
   48,           652,             611,              0,       208,          47,       1000
   49,           696,             654,              0,       215,          48,       1001
   50,           723,             680,              0,       222,          49,          0
   51,           753,             709,           1000,       227,          50,          0
   52,           804,             759,           1000,       234,          51,          0
   53,           855,             809,           1000,       239,          52,       1001
   54,           905,             858,              0,       243,          53,       1000
   55,           927,             879,           1001,       245,          54,          0
   56,           973,             924,           1000,       257,          55,          0
   57,          1026,             976,           1000,       263,          56,          0
   58,          1036,             985,           1001,       266,          57,          0
   59,          1091,            1039,           1000,       271,          58,       1000
   60,          1134,            1081,           1001,       281,          59,          0
   61,          1162,            1108,           1001,       288,          60,          0
   62,          1198,            1143,           2001,       289,          61,          0
   63,          1216,            1160,           1000,       298,          62,          0
   64,          1235,            1178,           1000,       302,          63,       1000
   65,          1293,            1235,           1001,       309,          64,          0
   66,          1350,            1291,           2001,       317,          65,          0
   67,          1363,            1303,           1001,       322,          66,       1000
   68,          1408,            1347,           1000,       329,          67,          0
   69,          1430,            1368,           2002,       333,          68,          0
   70,          1499,            1436,           1000,       344,          69,       1001
   71,          1529,            1465,           1000,       347,          70,          0
   72,          1540,            1475,           2001,       358,          71,          0
   73,          1587,            1521,           2001,       365,          72,          0
   74,          1630,            1563,           1001,       371,          73,          0
   75,          1699,            1631,           1000,       377,          74,       1001
   76,          1760,            1691,           1000,       388,          75,       1001
   77,          1806,            1736,           1000,       389,          76,          0
   78,          1810,            1739,           2001,       396,          77,          0
   79,          1837,            1765,           2002,       395,          78,          0
   80,          1879,            1806,           2002,       409,          79,          0
   81,          1907,            1833,           2001,       417,          80,          0
   82,          1933,            1858,           2002,       417,          81,       1000
   83,          1936,            1860,           1001,       417,          82,       1000
   84,          1980,            1903,           2001,       437,          82,          0
   85,          2050,            1972,           2002,       442,          83,          0
   86,          2053,            1974,           2001,       440,          84,       1001
   87,          2089,            2009,           2001,       449,          85,          0
   88,          2129,            2048,           2001,       458,          86,          0
   89,          2191,            2109,           2002,       466,          87,       1000
   90,          2270,            2187,           2002,       474,          88,          0
   91,          2323,            2239,           2002,       482,          89,          0
   92,          2333,            2248,           2001,       483,          90,       1001
   93,          2400,            2314,           2001,       491,          91,          0
   94,          2425,            2338,           3002,       492,          92,          0
   95,          2454,            2366,           2002,       499,          93,       1000
   96,          2542,            2453,           2002,       513,          94,       1000
   97,          2630,            2540,           2002,       519,          95,       1000
   98,          2695,            2604,           2002,       529,          96,       1000
   99,          2710,            2618,           2002,       531,          97,       1000
  100,          2797,            2704,           2002,       546,          98,       1000
  101,          2811,            2717,           2002,       551,          99,       1000
  102,          2870,            2775,           3002,       549,         100,          0
  103,          2904,            2808,           3002,       561,         101,          0
  104,          2979,            2882,           3002,       573,         102,       1001
  105,          3083,            2985,           3002,       578,         103,          0
  106,          3110,            3011,           3002,       583,         104,       1000
  107,          3199,            3099,           2001,       594,         105,       1000
  108,          3238,            3137,           3002,       596,         106,       1001
  109,          3333,            3231,           3002,       601,         107,          0
  110,          3372,            3269,           3002,       608,         108,       1000
  111,          3457,            3353,           3002,       614,         109,       1001
  112,          3568,            3464,           3002,       630,         110,       1000
  113,          3603,            3498,           3002,       637,         111,       1001
  114,          3626,            3520,           3002,       640,         112,       1000
  115,          3738,            3631,           3002,       651,         113,       1000
  116,          3801,            3693,           3003,       646,         114,       1000
  117,          3820,            3711,           4003,       653,         115,       1000
  118,          3912,            3802,           4003,       660,         116,          0
  119,          3956,            3845,           4003,       663,         117,          0
  120,          4075,            3964,           3003,       681,         118,       1000
  121,          4103,            3991,           4003,       687,         119,          0
  122,          4218,            4105,           4003,       692,         120,       1001
  123,          4304,            4190,           4003,       702,         121,       1001
