   n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
   0,             0,               0,              0,         0,           0,          0
   1,             0,               0,              0,         0,           0,          0
   2,             1,               0,              0,         1,           2,          0
   3,             3,               1,              0,         2,           5,          0
   4,             4,               1,              0,         5,           8,          0
   5,             8,               4,              0,         8,          12,          0
   6,            11,               6,              0,        10,          16,          0
   7,            16,              10,              0,        13,          20,          0
   8,            20,              13,              0,        16,          24,          0
   9,            26,              18,            999,        19,          29,          0
  10,            28,              19,              0,        25,          34,          0
  11,            30,              20,              0,        27,          39,          0
  12,            33,              22,              0,        28,          44,          0
  13,            34,              22,              0,        32,          49,          0
  14,            42,              29,              0,        38,          54,          0
  15,            51,              37,              0,        42,          59,         58
  16,            62,              47,              0,        46,          64,          0
  17,            78,              62,           1000,        51,          70,          0
  18,            91,              74,              0,        53,          76,          0
  19,            96,              78,              0,        59,          82,          0
  20,           110,              91,              0,        66,          88,          0
  21,           128,             108,              0,        72,          94,          0
  22,           131,             110,              0,        75,         100,          0
  23,           132,             110,              0,        76,         106,          0
  24,           154,             131,              0,        80,         112,          0
  25,           176,             152,              0,        84,         118,          0
  26,           189,             164,              0,        92,         124,          0
  27,           213,             187,              0,        95,         130,          0
  28,           235,             208,          11909,       104,         136,          0
  29,           250,             222,              0,       108,         142,          0
  30,           266,             237,           3277,       113,         148,       1004
  31,           275,             245,              0,       117,         154,          0
  32,           286,             255,              0,       120,         160,       4365
  33,           312,             280,            998,       126,         167,          0
  34,           342,             309,              0,       133,         174,       3544
  35,           373,             339,           2588,       136,         181,          0
  36,           385,             350,           5437,       145,         188,       1000
  37,           414,             378,              0,       147,         195,       6101
  38,           437,             400,            998,       152,         202,          0
  39,           457,             419,           3444,       160,         209,          0
  40,           482,             443,              0,       169,         216,          0
  41,           513,             473,           9661,       175,         223,       2516
  42,           535,             494,           2005,       178,         230,          0
  43,           573,             531,              0,       183,         237,          0
  44,           580,             537,              0,       193,         244,       8018
  45,           618,             574,              0,       199,         251,          0
  46,           622,             577,              0,       197,         258,      21586
  47,           656,             610,            996,       200,         265,          0
  48,           692,             645,              0,       206,         272,          0
  49,           720,             672,           8847,       212,         279,          0
  50,           735,             686,           4903,       219,         286,          0
  51,           776,             726,              0,       229,         293,          0
  52,           789,             738,              0,       232,         300,          0
  53,           791,             739,              0,       236,         307,      13743
  54,           832,             779,           2022,       244,         314,          0
  55,           863,             809,           8222,       248,         321,          0
  56,           882,             827,              0,       263,         328,       6652
  57,           896,             840,           3592,       267,         335,       1000
  58,           906,             849,              0,       267,         342,       6096
  59,           947,             889,            997,       280,         349,       4940
  60,           960,             901,           4699,       287,         356,       1824
  61,          1020,             961,           7600,       289,         363,       3567
  62,          1042,             982,           3952,       297,         370,       3746
  63,          1058,             997,           4439,       303,         377,        997
  64,          1060,             998,           9192,       309,         384,       1004
  65,          1094,            1031,           9413,       316,         392,          0
  66,          1104,            1040,              0,       318,         400,          0
  67,          1130,            1065,              0,       325,         408,          0
  68,          1183,            1117,          29783,       335,         416,          0
  69,          1184,            1117,           5873,       339,         424,          0
  70,          1225,            1157,           3432,       343,         432,          0
  71,          1255,            1186,           8095,       350,         440,       2463
  72,          1305,            1235,           6239,       361,         448,          0
  73,          1375,            1304,              0,       368,         456,       2147
  74,          1406,            1334,           6019,       370,         464,          0
  75,          1471,            1398,              0,       373,         472,          0
  76,          1539,            1465,          18246,       382,         480,       1432
  77,          1570,            1495,           7741,       390,         488,       1959
  78,          1608,            1532,           4248,       397,         496,          0
  79,          1650,            1573,           3051,       402,         504,       2998
  80,          1707,            1629,              0,       413,         512,       8017
  81,          1762,            1683,           8076,       418,         520,          0
  82,          1808,            1728,              0,       423,         528,          0
  83,          1852,            1771,              0,       431,         536,      15627
  84,          1929,            1847,           1493,       436,         544,          0
  85,          1976,            1893,          15646,       439,         552,          0
  86,          1985,            1901,           9151,       452,         560,          0
  87,          2065,            1980,              0,       464,         568,      16598
  88,          2115,            2029,           6969,       473,         576,          0
  89,          2169,            2082,              0,       477,         584,          0
  90,          2223,            2135,              0,       484,         592,       8024
  91,          2267,            2178,              0,       492,         600,          0
  92,          2326,            2236,              0,       487,         608,       7233
  93,          2333,            2242,              0,       492,         616,          0
  94,          2426,            2335,          20024,       497,         624,        998
  95,          2504,            2412,              0,       504,         632,          0
  96,          2518,            2425,              0,       509,         640,          0
  97,          2576,            2482,              0,       516,         648,      12466
  98,          2578,            2483,          10119,       524,         656,          0
  99,          2633,            2537,           6922,       535,         664,          0
 100,          2660,            2563,              0,       544,         672,       8025
 101,          2740,            2642,           8080,       550,         680,          0
 102,          2808,            2709,              0,       559,         688,          0
 103,          2812,            2712,          15598,       564,         696,          0
 104,          2915,            2815,          13986,       574,         704,          0
 105,          2928,            2827,          15241,       582,         712,       2454
 106,          3010,            2908,          12574,       581,         720,       3628
 107,          3015,            2912,           9383,       585,         728,       8216
 108,          3020,            2916,           9611,       597,         736,       4971
 109,          3115,            3010,          12068,       602,         744,          0
 110,          3127,            3021,           9675,       606,         752,       8163
 111,          3217,            3110,          13846,       608,         760,       3683
 112,          3246,            3138,          19521,       629,         768,       3638
 113,          3348,            3239,          20601,       637,         776,       2424
 114,          3409,            3299,          13429,       640,         784,          0
 115,          3513,            3402,          18473,       656,         792,       3460
 116,          3566,            3454,              0,       657,         800,          0
 117,          3671,            3558,          17052,       664,         808,          0
 118,          3686,            3572,          23677,       671,         816,          0
 119,          3738,            3623,          15921,       684,         824,          0
 120,          3833,            3717,          18405,       686,         832,       3445
 121,          3883,            3766,           5411,       693,         840,      13873
 122,          3908,            3790,           8706,       697,         848,       9739
 123,          3915,            3796,          16808,       708,         856,       3852
 124,          4000,            3880,          13976,       713,         864,          0
 125,          4078,            3957,          10299,       720,         872,          0
