  n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
  0,             0,               0,              0,         0,           0,          0
  1,             0,               0,              0,         0,           0,          0
  2,             1,               1,              0,         1,           0,          0
  3,             2,               1,              0,         3,           0,          0
  4,             4,               2,              0,         4,           0,          0
  5,             5,               2,              0,         6,           0,          0
  6,            10,               6,              0,        11,           0,          0
  7,            13,               8,              0,        14,           0,          0
  8,            20,              15,              0,        16,           0,          0
  9,            26,              20,              0,        20,           0,          0
 10,            34,              27,              0,        21,           0,          0
 11,            40,              32,              0,        26,           0,          0
 12,            44,              35,              0,        31,           0,          0
 13,            55,              45,              0,        36,           0,          0
 14,            59,              48,              0,        36,           0,          0
 15,            67,              55,              0,        41,           0,          0
 16,            70,              57,              0,        45,           0,          0
 17,            83,              69,           1001,        50,           0,          0
 18,            92,              77,              0,        56,           0,          0
 19,            95,              79,              0,        59,           0,          0
 20,           114,              98,              0,        62,           0,          0
 21,           133,             116,              0,        67,           0,          0
 22,           154,             136,              0,        70,           0,          0
 23,           168,             149,              0,        79,           0,          0
 24,           182,             162,              0,        84,           0,          0
 25,           198,             177,              0,        90,           0,          0
 26,           211,             189,              0,        88,           0,          0
 27,           235,             212,              0,        97,           0,          0
 28,           241,             217,              0,        99,           0,          0
 29,           248,             223,           5348,       103,           0,          0
 30,           255,             229,           1165,       111,           0,          0
 31,           268,             241,           1044,       113,           0,       1000
 32,           280,             252,           1840,       121,           0,          0
 33,           293,             264,           1001,       126,           0,        994
 34,           321,             291,              0,       133,           0,       1649
 35,           329,             298,           1186,       138,           0,        811
 36,           357,             325,           4288,       147,           0,          0
 37,           386,             353,           1273,       154,           0,          0
 38,           415,             381,           2728,       151,           0,          0
 39,           419,             384,           2028,       157,           0,          0
 40,           458,             423,           1006,       161,           0,          0
 41,           486,             450,              0,       166,           0,          0
 42,           508,             471,              0,       173,           0,          0
 43,           538,             500,              0,       180,           0,          0
 44,           544,             505,              0,       180,           0,          0
 45,           558,             518,           9046,       182,           0,       3484
 46,           580,             539,           1996,       201,           0,       1001
 47,           610,             568,              0,       208,           0,          0
 48,           635,             592,              0,       208,           0,          0
 49,           677,             633,              0,       214,           0,          0
 50,           716,             671,              0,       226,           0,          0
 51,           726,             680,              0,       233,           0,          0
 52,           729,             682,              0,       231,           0,          0
 53,           748,             700,              0,       237,           0,          0
 54,           800,             751,          12032,       243,           0,          0
 55,           848,             798,           2146,       254,           0,       3181
 56,           884,             833,           1001,       256,           0,          0
 57,           908,             856,              0,       261,           0,          0
 58,           949,             896,              0,       266,           0,          0
 59,          1007,             953,           8159,       275,           0,       1076
 60,          1018,             963,           1692,       283,           0,          0
 61,          1067,            1011,              0,       288,           0,          0
 62,          1098,            1041,              0,       291,           0,          0
 63,          1105,            1047,              0,       297,           0,          0
 64,          1129,            1070,              0,       308,           0,          0
 65,          1139,            1079,           8019,       313,           0,          0
 66,          1190,            1129,           5340,       319,           0,          0
 67,          1252,            1190,            996,       326,           0,          0
 68,          1318,            1255,              0,       334,           0,          0
 69,          1382,            1318,              0,       342,           0,          0
 70,          1448,            1383,              0,       342,           0,       8015
 71,          1502,            1436,             87,       348,           0,          0
 72,          1503,            1436,           8219,       362,           0,          0
 73,          1571,            1503,           8150,       370,           0,          0
 74,          1616,            1547,              0,       374,           0,          0
 75,          1682,            1612,              0,       381,           0,          0
 76,          1706,            1635,           8563,       384,           0,          0
 77,          1710,            1638,          13585,       386,           0,          0
 78,          1746,            1673,           2067,       388,           0,       5825
 79,          1814,            1740,           9701,       403,           0,          0
 80,          1819,            1744,          12940,       401,           0,          0
 81,          1859,            1783,          10785,       407,           0,       3872
 82,          1882,            1805,           9818,       416,           0,       1745
 83,          1933,            1855,           4559,       426,           0,       5369
 84,          1938,            1859,           1009,       432,           0,       7675
 85,          1983,            1903,           7875,       441,           0,       1003
 86,          2010,            1929,           2947,       445,           0,       6164
 87,          2055,            1973,          10421,       451,           0,        996
 88,          2094,            2011,          10629,       452,           0,          0
 89,          2130,            2046,           8749,       459,           0,        998
 90,          2185,            2100,           6122,       457,           0,          0
 91,          2198,            2112,          16533,       470,           0,       2120
 92,          2212,            2125,           6755,       490,           0,        998
 93,          2255,            2167,           7677,       496,           0,          0
 94,          2295,            2206,              0,       507,           0,          0
 95,          2303,            2213,           9736,       507,           0,       2498
 96,          2379,            2288,           7668,       514,           0,       1444
 97,          2421,            2329,          11183,       520,           0,       1917
 98,          2517,            2424,           9234,       533,           0,        997
 99,          2602,            2508,           8024,       533,           0,      10447
100,          2664,            2569,           9770,       549,           0,          0
