nm0000313	Jeff Bridges	tt0371746
nm0001765	Harry Dean Stanton	tt0848228
nm0000602	Robert Redford	tt1843866
nm0000140	Michael Douglas	tt0478970
nm0000164	Anthony Hopkins	tt3501632
nm0000375	Robert Downey Jr.	tt4154756	tt0848228	tt0371746
nm0442207	Lloyd Kaufman	tt2015381
nm0000156	Jeff Goldblum	tt3501632
nm0001745	Stellan Skarsgård	tt0848228
nm0000554	Sam Neill	tt3501632
nm0000458	William Hurt	tt4154756
nm0000168	Samuel L. Jackson	tt4154756	tt0848228	tt1843866	tt0371746
nm0001845	Forest Whitaker	tt1825683
nm0000982	Josh Brolin	tt4154756	tt2015381
nm0740264	Michael Rooker	tt2015381
nm0000354	Matt Damon	tt3501632
nm0000604	John C. Reilly	tt2015381
nm0429363	Toby Jones	tt1843866
nm0470981	Thomas Kretschmann	tt1843866
nm0005024	Terrence Howard	tt0371746
nm0038355	Tadanobu Asano	tt3501632
nm0424060	Scarlett Johansson	tt4154756	tt0848228	tt1843866
nm0671567	Michael Peña	tt0478970
nm0749263	Mark Ruffalo	tt4154756	tt0848228	tt3501632
nm0000949	Cate Blanchett	tt3501632
nm0748620	Paul Rudd	tt0478970
nm0339460	Judy Greer	tt0478970
nm1107001	Anthony Mackie	tt4154756	tt0478970	tt1843866
