tt0003930	Fantomas Against Fantomas	6.8	1393
tt0004712	The Exile	6.2	231
tt0017048	A Page of Madness	7.4	4216
tt0020980	Walk Cheerfully	6.4	716
tt0021336	Sasha	7.1	21
tt0021406	That Night's Wife	6.9	908
tt0022064	Lebbra bianca	5.3	56
tt0022485	Tokyo Chorus	7.1	1519
tt0022787	Wooden Crosses	7.7	1615
tt0023238	The Most Dangerous Game	7.1	13448
tt0024676	Woman of Tokyo	7.0	1001
tt0025557	El negro que tenía el alma blanca	6.8	43
tt0027752	The Only Son	7.7	3898
tt0028358	Things to Come	6.6	8680
tt0029557	What Did the Lady Forget?	7.0	1237
tt0029870	Angels with Dirty Faces	7.9	22683
tt0029947	Bringing Up Baby	7.8	64631
tt0030341	The Lady Vanishes	7.7	55603
tt0030998	You're Only Young Twice	5.7	90
tt0031437	Home on the Prairie	5.6	113
tt0031527	Kangan	8.2	8
tt0031603	Made in Germany – Ein Leben für Zeiss	6.5	17
tt0032304	Captain Caution	5.4	339
tt0032553	The Great Dictator	8.4	232079
tt0032787	Mi noche triste	6.0	12
tt0032867	On Their Own	5.7	28
tt0032916	Play Girl	6.3	367
tt0034298	Brothers and Sisters of the Toda Family	7.3	1374
tt0034591	There Was a Father	7.6	3016
tt0034928	Jungle Book	6.7	4502
tt0035074	peh	4.9	193
tt0035423	Kate & Leopold	6.4	87609
tt0035933	Elephant Fury	5.3	14
tt0036220	A Good Lad	6.2	85
tt0036247	Our Father	6.4	11
tt0036443	Titanic	6.1	1727
tt0036493	Mystery of the Black Jungle	5.6	48
tt0036606	Another Time, Another Place	6.5	342
tt0036757	Destiny	6.1	188
tt0036775	Double Indemnity	8.3	163332
tt0036991	Die Kreuzlschreiber	6.7	13
tt0037065	Melusine	3.7	19
tt0037483	Eyes of Love	7.8	24
tt0037515	And Then There Were None	7.4	16058
tt0037547	Blood on the Sun	6.0	2168
tt0037913	Mildred Pierce	7.9	27786
tt0037954	Objective, Burma!	7.3	5388
tt0038086	Shiva und die Galgenblume	7.0	27
tt0038089	Siluri umani	7.1	55
tt0038355	The Big Sleep	7.9	88810
tt0038669	The Killers	7.7	22958
tt0038777	A Night in Casablanca	6.9	7262
tt0039241	Captain Demonio	3.8	9
tt0039417	Germany, Year Zero	7.8	13265
tt0039442	Habla, mudita	6.1	163
tt0039478	Hue and Cry	6.7	1706
tt0039536	Kiss of Death	7.4	9215
tt0039631	Monsieur Verdoux	7.8	18638
tt0039689	Out of the Past	8.0	39654
tt0039895	They Made Me a Fugitive	7.2	1829
tt0040018	It's Forever Springtime	6.3	103
tt0040221	Caught	7.0	4228
tt0040266	The Dancing Years	6.0	79
tt0040284	The Last Days of Pompeii	5.8	129
tt0040300	The Devil Is a Woman	7.2	138
tt0040348	The Farm of Seven Sins	6.5	86
