Front,Back
"What is a Data Stream?","An unbounded sequence of tuples/events/records generated continuously over time. Example: S = t₁, t₂, t₃, t₄, ..."
"What is Latency in DSP?","The time it takes to process a tuple/event, calculated as t_output - t_input. Modern systems achieve latency of a few milliseconds."
"What is Throughput in DSP?","The capacity of the system measured as the number of events processed per unit of time."
"What is an Operator Graph?","A directed acyclic graph (DAG) where nodes are operators and edges (vertices) represent data flows between operators."
"What are Non-blocking Operators?","Operators that process incoming data as soon as it arrives, creating a result for every individual tuple. Examples: filter, transform operators."
"What are Blocking Operators?","Operators that can only produce results after receiving all data tuples. Examples: sum, join, aggregation operators. They require windows to avoid waiting forever."
"What is a Tumbling Window?","A fixed-size, non-overlapping window based on count or time. Each event belongs to exactly one window."
"What is a Sliding Window?","An overlapping window that slides over the data stream with configurable size and slide interval. Events can belong to multiple windows."
"What is a Session Window?","A window that groups events based on activity gaps or session boundaries. Window closes after a configured timeout with no activity."
"What is Processing Time?","The time of the local clock on the machine where the operator processing the stream is being executed."
"What is Event Time?","The time when an event in the stream actually happened, typically embedded as a timestamp in the event data."
"What are Watermarks?","A logical clock that informs the system about the current event time. When an operator receives a watermark with time T, no further events with timestamp < T will be received."
"What is Out-of-order Processing?","Handling events that arrive late or not in chronological order, often caused by network delays or multiple sources with varying delays."
"What causes disorder in data streams?","Items from the same source taking different routes, many sources with varying delays, or data sorted on different attributes."
"What is Operator State?","State maintained by operators in stream processing, including list state, union list state, and broadcast state."
"What is Keyed State?","State organized as key-value pairs in stream processing, allowing partitioned processing where each key has its own state."
"What are State Backends?","Storage mechanisms for operator state. Options include in-memory (JVM heap) for fast access but limited memory, or disk-based (RocksDB) for slower access but larger capacity."
"What is At-most-once processing?","A processing guarantee where events may be lost but are never processed more than once. No recovery mechanisms for failed events."
"What is At-least-once processing?","A processing guarantee where events may be processed multiple times but are never lost. Achieved through replay after checkpoint."
"What is Exactly-once processing?","A processing guarantee where each event is processed exactly once. Requires checkpoints, state consistency through transactional updates or snapshotting, and special sink connectors."
"What are Checkpoints in DSP?","Consistent snapshots of system state taken periodically for recovery purposes. Allow the system to resume from a known good state after failures."
"What are Savepoints?","User-triggered checkpoints with additional metadata that enable starting a different application, changing parallelism, or versioning application state."
"What is the Chandy-Lamport Algorithm?","A distributed checkpointing algorithm that creates consistent snapshots without pausing the entire system, using checkpoint barriers that flow through the data stream."
"What is Load Shedding?","The process of discarding some data when the system is overloaded to maintain performance and prevent queue buildup. Involves deciding when, where, and how much to shed."
"What are the three questions of Load Shedding?","When: constant evaluation of system load. Where: dropping as early as possible to save resources. How much: determining the percentage for random drops or predicate for semantic drops."
"What is Semantic Load Shedding?","Load shedding that chooses what to shed based on Quality of Service (QoS) criteria, dropping the lowest utility tuples first using filters with predicates."
"What is Random Load Shedding?","Load shedding that eliminates a random fraction of input, with each incoming tuple having a p% chance of being dropped."
"What is the CAP Theorem?","A theorem stating that a distributed system can only guarantee at most 2 of 3 properties: Consistency (all nodes see same data), Availability (all requests get answers), and Partition tolerance (system works during network failures)."
"What is Strong Consistency?","All nodes in a distributed system see the same data values at the same time. Used in ACID systems with synchronous replication."
"What is Eventual Consistency?","Some nodes may see different data values temporarily, but if updates stop, the system eventually reaches strong consistency. Used in BASE systems with asynchronous replication."
"What is Horizontal Fragmentation?","Distribution of database rows across nodes based on selection criteria. Also called sharding."
"What is Vertical Fragmentation?","Distribution of database columns across nodes based on projection. Different attributes of the same relation stored on different nodes."
"What is Hybrid Fragmentation?","Combination of horizontal and vertical fragmentation, distributing ""projected columns"" from ""selected rows""."
"What is Database Replication?","Storing multiple copies of data at different nodes to improve availability, reliability, and performance. Requires consistency management."
"What is 2-Phase Locking (2PL)?","A concurrency control protocol with two phases: growing phase (acquire locks) and shrinking phase (release locks). Ensures serializability."
"What is 2-Phase Commit (2PC)?","A distributed transaction protocol with prepare phase (coordinator asks participants to vote) and commit/abort phase (execute global decision). Ensures atomicity."
"What is Distributed Deadlock?","A deadlock occurring across multiple nodes where transactions on different sites wait for each other in a circular pattern."
"What is OLTP?","On-Line Transaction Processing: focuses on short online transactions, current data, high throughput, ACID properties, and operational databases."
"What is OLAP?","On-Line Analytical Processing: focuses on complex queries, historical data, aggregations, read-only operations, and data analysis in data warehouses."
"What is a Data Warehouse?","A repository of integrated, subject-oriented, non-volatile, time-variant data designed to support data analysis and decision making."
"What are the four characteristics of a Data Warehouse?","Subject-oriented (organized by user perspective), Integrated (consistent naming/formats), Non-volatile (read-only historical), Time-variant (time-series data)."
"What is a Star Schema?","A data warehouse schema design with a central fact table connected to multiple dimension tables in a star-like pattern."
"What is a Snowflake Schema?","A star schema variant where dimension tables are normalized, reducing redundancy but potentially increasing join complexity."
"What is a Constellation Schema?","A schema with multiple fact tables sharing common dimension tables, also called galaxy schema or fact constellation."
"What is a Fact Table?","The central table in a data warehouse storing quantitative measures/metrics and foreign keys to dimension tables. Typically very large (up to 1 TB)."
"What is a Dimension Table?","A table describing attributes of one dimension of a fact table, providing context and descriptive data for analysis. Usually denormalized."
"What is the ETL Process?","Extract-Transform-Load: the process of extracting data from sources, transforming it (cleaning, formatting, integrating), and loading it into the data warehouse."
"What is Roll-up in OLAP?","An OLAP operation that aggregates data to a higher level of hierarchy, summarizing detailed data."
"What is Drill-down in OLAP?","An OLAP operation that disaggregates data to a lower level of detail, decomposing summarized data."
"What is Slice in OLAP?","An OLAP operation that selects one dimension value to create a sub-cube, reducing dimensionality by one."
"What is Dice in OLAP?","An OLAP operation that selects multiple dimension values across multiple dimensions to create a sub-cube."
"What is Pivot in OLAP?","An OLAP operation that rotates the view of data, reorienting the multidimensional perspective."
"What is a Data Mart?","A smaller, department-specific data warehouse containing a subset of enterprise data focused on specific business needs."
"What is Schema-on-read?","A data lake approach where data is written in raw format and schema is applied when reading/querying the data. Provides flexibility for multiple interpretations."
"What is Schema-on-write?","A traditional database approach where schema is enforced when writing data, ensuring consistency but reducing flexibility."
"What is a Multi-Database System (MDBS)?","Integration of multiple heterogeneous databases with a unified global schema, providing transparent access while maintaining local autonomy."
"What is an Export Schema?","The local schema that a database exposes to the global level in a multi-database system, representing the shared subset of local data."
"What is a Global Schema?","The integrated view of all databases in a multi-database system, providing a unified conceptual schema for global queries."
"What is the Mediator/Wrapper Architecture?","An integration pattern where the mediator coordinates queries using the global schema, and wrappers translate between the mediator's interface and local database systems."
"What is Schema Matching?","The process of finding correspondences between multiple database schemas, identifying equivalent or related elements."
"What is Schema Integration?","The process of creating a global conceptual schema using correspondences found during schema matching, merging local schemas."
"What is Schema Mapping?","The process of mapping data from local databases to the global schema while preserving semantic consistency."
"What are Name Conflicts in schema integration?","Conflicts where different names are used for equivalent entities (synonyms) or the same name is used for different entities (homonyms)."
